BBQ Chicken Macaroni Salad,Made this for my mom and she loves it and it’s so simple to make too,5 of 5 stars
BBQ Duck on Corn Cakes,"This appetizer has become a stapple at my dinner parties. Especially when I want to do something fancy. There is a few modifications you can make to really simply this. I use a corn bread mix where all you need to do is add water, comes out just as well as homemade and so much easier. I use a store bought good bbq sauce, why make you own there is so many good ones out there. To decorate cakes at end, I add a small dolop of creme fraische on top of duck and sprinkle with chives. It's a winner.",4 of 5 stars
BBQ Pulled Jackfruit Sandwiches,Way too much chili powder!!! My hubs and I are still dousing the mouth burn.  Tasted good till we couldn't taste anything because of the spicy hot.,4 of 5 stars
BBQ Pulled Jackfruit Sandwiches,"I made regular pulled pork for family guests and offered this vegetarian option for my sister. She was intrigued and a little wary, never having tried Jackfruit before. This won her over.",4 of 5 stars
BLT Lobster Rolls,I made these the other night for dinner and they came out sooooooo amazing!!!! All thumbs up,5 of 5 stars
BLT Lobster Rolls,Made this as soon as I saw it on the cover of the magazine. It was absolutely the BEST lobster roll I have EVER had! My husband is still telling people about them. Wouldn't think bacon and lobster but OMG what a combo!,5 of 5 stars
BLT Pasta Salad,Ounds great!,3.9 of 5 stars
BLT Pasta Salad,this salad was so scumpdillyumscous and easy to make. this is now gonna be my favorite dish to take to potlucks. 10/10 would make again. ,3.9 of 5 stars
BLT Pasta Salad,"This salad was a big hit with my sons, I made 16 ounces pasta, quartered grape tomatoes, and used romaine... next time just serve lettuce on the side, as it wilts rather quickly. Definitely a keeper!",3.9 of 5 stars
BLT Pasta Salad,What purpose does the milk serve? Doesn't sound very appetizing to toss the pasta in milk.,3.9 of 5 stars
BLT Pasta Salad,Yummy in my tummy,3.9 of 5 stars
BLT Pasta Salad,Took it to our potluck ladies group at my church & they were crazy for it ,3.9 of 5 stars
BLT Pasta Salad,I was so dissapointed. Not a great dish. My kids initially were okay with it but as they kept eating it - well let me say that I have a competitive swimmer who had just come back from swimming 2 hour practice and she could not get down a full bowl. Tossed the remaining - so sad.,3.9 of 5 stars
BLT Pasta Salad,"If you don't mind, could you tell us what you and your kids didn't like about it? And suggestions on how to improve it if possible. ",3.9 of 5 stars
BLT Pasta Salad,"Just made this tonight for dinner with grilled porkchops.......loved it!! the whole family loved it. I recommend using less thyme because it is very powerful....I also used miracle whip instead of mayo and low fat sour cream, for all those complaining about calories and fat content....I also used almost double the amount of noodles, this distributed the mix well, making less calorie content per serving. I also switched the lettuce for baby spinach and did not mix into bowl, I put the spinach with the noodles as I served it.......I will be making this again and again....it will be a hit at parties...this I can guarantee.....",3.9 of 5 stars
BLT Pasta Salad,Eh......not that great. I didn't even want the leftovers for lunch the next day. I'm going to keep looking for a BLT pasta salad recipe. This one is not the one for me!,3.9 of 5 stars
BLT Pasta Salad,I loved it I made a blt pasta salad I was looking for when I found this one. I don't think I will have to find the other one cause I got a new one ..ha,3.9 of 5 stars
BLT Pasta Skillet,"if this is a BLT where's the ""L"" part",4.3 of 5 stars
BLT Pasta Skillet,"The ""L"" is the Escarole",4.3 of 5 stars
BLT Pasta Skillet,Delicious,4.3 of 5 stars
BLT Pasta Skillet,Eh? I didn't /hate/ it.,4.3 of 5 stars
BLT Pasta Skillet,Not very tasty unfortunately.,4.3 of 5 stars
BLT Pasta Skillet,Easy to prepare. Was a good weeknight meal. I did not add the pasta water based on other reviews but I also did not use fresh mozzarella because I have found that it will ruin certain dishes because of the high water content. The consistency was perfect. I also doubled the basil.,4.3 of 5 stars
BLT Pasta Skillet,This recipe is a keeper.  I added more pasta.  Great flavor!,4.3 of 5 stars
BLT Pasta Skillet,Made this again last night and used a large can of crushed tomatoes instead of the whole ones.  I also doubled the ricotta and Parmesan mixture.  Love this recipe!,4.3 of 5 stars
BLT Pasta Skillet,,4.3 of 5 stars
BLT Pasta Skillet,Love it thanks Valerie u turned me into a great cook now just don’t tell anyone I’m using your great recipes my family very happy im cooking more and they love it love out to u Keith cheshier San Antonio tx ❤️❤️❤️❤️,4.3 of 5 stars
BLT Pasta Skillet,This dish was excellent! Very flavorful! I think it must be that 1tbsp of bacon grease in the sauce. The only thing I'd do next time is add a few more pieces of bacon!,4.3 of 5 stars
BLT Pasta Skillet,So delicious! The greens and bacon were a nice addition to this baked ziti style dish.,4.3 of 5 stars
BLT Quinoa Bowls,"Loved it!  I soft scrambled the eggs, since some in my family wouldn't be able to eat when it was fresh.  Versatile - many kinds of veggies could be used.  Was good with a dash of Siracha to finish it off also.",5 of 5 stars
BLT Quinoa Bowls,Since my wife is a vegetarian I’m always looking for meals I can modify for us. I substituted Smart Bacon for the bacon. I chopped the Smart Bacon up into 1/2 inch pieces and cooked it and the broccoli at the same time in about 2 tablespoons on EVOO. I followed the recipe for everything else and she loved it. I’ll be making it again.,5 of 5 stars
BLT Quinoa Bowls,My husband and I loved this dish!  Does yield more than 4 servings.,5 of 5 stars
BLT Quinoa Bowls,"I love this recipe! I can't wait to make it again. Next time I'll add whatever leftover vegetables I have (cauliflower, brussels sprouts, carrots, zucchini...). I thought the tomato/vinegar mixture was strange when I read the recipe, but It was delish! Don't skip that.",5 of 5 stars
BLT Quinoa Bowls,I loved this dish! Great balance of flavor. It's going into my rotation. ,5 of 5 stars
BLT Tomatoes,"I thought BLT tomatoes sounded great and they were! I made some minor changes based on other reviews and on what I had on hand; my lettuce of choice was baby spinach, I added a couple of scallions I needed to use up, I added Parmesan cheese (to hold the stuffing together and because I love cheese.), I used panko bread crumbs because that's what I had, and I added the chopped garlic to the stuffing. I wasn't sure if I was supposed to add the tomato flesh to the stuffing but I did chop and add it. It's was delicious, the texture was perfect, not a sloppy mess at all! I made it as a side to a pork loin and all I wanted was the tomato!",3.3 of 5 stars
BLT Tomatoes,"My go to baked tomato recipe. I'm not sure why the others rated it so low? Perhaps they used iceberg lettuce. Use romaine; even after baking it is still crunchy, but caramelized from baking. I am vegan so use smoked almonds in lieu of the bacon and used homemade croutons in the place of the stale bread.",3.3 of 5 stars
BLT Tomatoes,We Loved it! Instead of using stale bread cubes I used Panko Bread Crumbs!,3.3 of 5 stars
BLT Tomatoes,"OK, here's how I changed this recipe for better results...

1. After hollowing out the four tomatoes, I saved the tomato ""guts"" and, after chopping them into smaller pieces, ran them vigorously through our salad spinner. I dumped the liquid, then spun them again to keep the moisture content as minimal as possible. These were the first ingredient added to the mixing bowl for the ""stuffing,"" and I salted them well with coarse sea salt to bring out their flavor while they rest.

2. The idea of frying bacon with garlic seems kind of silly to me (though I can't say for sure, because I've never tried it), and wouldn't the whole dish be more flavorful with some baked garlic all around? So, instead of cooking the bacon slices with a garlic clove, I decided to add chopped garlic to the mixing bowl for the ""stuffing."" Garlic mellows when it is baked and we love garlic, so I actually added two well-chopped cloves to the mix.

3. Leave out the lettuce.

4. Mix up the well-spun, salted tomato ""guts"" with the chopped bacon, chopped garlic, bread cubes, mayo, salt and pepper. Stuff your tomato shells, brush with the bacon drippings, and bake.

5. Don't eat these when they are scaldingly-hot. There is no flavor whatsoever, even if your mouth can handle extreme temperature. Either let the tomatoes rest for about ten minutes before serving, or cut the very hot tomatoes open a bit to let them cool for about five minutes, to what I would call ""very warm""--above room temperature, but not too hot. The flavors really seem to emerge as these stuffed tomatoes cool slightly ...But don't eat these cold, either. The many layers of flavors are a bit elusive, so give it a try on the warm side, and let it cool a little more if your taste buds aren't enjoying the dish yet :)

Last, we are thinking to add a bit more to this mix when we try it again, maybe some cut up rotisserie chicken?",3.3 of 5 stars
BLT Tomatoes,Why would you bake lettuce?,3.3 of 5 stars
BLT Tomatoes,There were not up to par due to the lettuce. You might try a substitue for the lettuce like some finely chopped celery and oinions?,3.3 of 5 stars
BLT Tomatoes,"If the bacon is cooked, no need to bake the tomatoes. This makes a nice Cold salad. Excellent with a contrasting soup.",3.3 of 5 stars
BLT Tomatoes,"BLT tomatoes sounded good, but I should have figured out that putting lettuce and mayo in the oven would yield a disgusting mess. The texture and taste was not up to par with most other food network recipes.",3.3 of 5 stars
BLT Wedges,"The dressing was delicious! I had to use basil instead of tarragon because tarragon was not available, but still turned out great. Will be making this again.",5 of 5 stars
Baby Back Rib Crown Roast,Made them today.... They were great.  Lots of flavor especially the cranberries on the corn.  Will make again.,4 of 5 stars
Baby Back Rib Crown Roast,"Amazing!!  Texas fan here! These were great!  Served with a side of warmed homemade BBQ sauce,  ALL FLAVERS THERE!!",4 of 5 stars
Baby Back Rib Crown Roast,I can't wait to make this again!  Presentation was so impressive.  It turned out beautifully and looked just like the picture.  The flavor was so savory with the overnight rest with all of the freshly ground spices on the ribs.  A delicious change from the usual bbq'd baby back ribs.  They were also nicely tender.  I thought the corn soufflé would be fussy but it was not at all.  A great combination of flavors!,4 of 5 stars
