Cabbage Soup,"Great soup. Followed the recipe the first time. The second time I added beans and potatoes and kicked up the spices a bit to my liking. Also, put some baby spinach at the bottom of my bowl and poured the soup over it for something different. To add, I used Savoy cabbage.",4.4 of 5 stars
Cabbage Soup,To my family it was not very flavorful.,4.4 of 5 stars
Cabbage Soup,Great soup even better with kielbasa,4.4 of 5 stars
Cabbage Soup,Great soup!,4.4 of 5 stars
Cabbage Soup,This was fantastic! Cooking the veggies added so much flavor. I didn’t have a big enough soup pot so I ended up adding them to the crock pot for an hour or two on high to blend the flavors.,4.4 of 5 stars
Cabbage Soup,hardy and full of flavor,4.4 of 5 stars
Cabbage Soup,Loved. So good. Thanks!,4.4 of 5 stars
Cabbage Soup,My family LOVED it!  I put all veggies in the food processor to chop.  Will make again.  For me... I’ll cook some orzo & sausage on the side for some carbs & (fatty ) protein ,4.4 of 5 stars
Cabbage Soup,Rename to Chop. chop Soup. Add sweet Italian sausage and kielbasa.,4.4 of 5 stars
Cabbage Soup,"Delicious! Because of all the shredding, prep and cleanup took a bit longer, but the result was great. A perfect weekend soup.",4.4 of 5 stars
Cabbage-Kohlrabi Slaw,,4.2 of 5 stars
Cabbage-Kohlrabi Slaw,,4.2 of 5 stars
Cabbage-Kohlrabi Slaw,,4.2 of 5 stars
Cabbage-Kohlrabi Slaw,,4.2 of 5 stars
Cabbage-Kohlrabi Slaw,,4.2 of 5 stars
Cabbage-Kohlrabi Slaw,,4.2 of 5 stars
Cacio e Pepe Pasta,Love it! Incredible easy and perfect for pasta lovers!!,5 of 5 stars
Cacio e Pepe Pasta,Yummy,5 of 5 stars
Cacio e Pepe Pasta,Fast and yumola!,5 of 5 stars
Cacio e Pepe Pasta,"My mother used to make this back when I was a little girl, she called it Jefferson's Noodles, it is so yummy!",5 of 5 stars
Cacio e Pepe Pasta,Better Than a bag of Ramen !!,5 of 5 stars
Cacio e Pepe Pasta,Amen!!!,5 of 5 stars
Cacio e Pepe Pasta,"This looks wonderful and so I hesitate to point this out, but Cacio e Pepe should be made with Pecorino cheese not Parmesan.",5 of 5 stars
Cacio e Pepe Pasta,"Happy

Happy",5 of 5 stars
Cacio e Pepe Pasta,I've made this several times now. It turns out perfect every time. It has become one of my favorite 'go to' recipes.,5 of 5 stars
Cacio e Pepe Pasta,"Had left over pasta, added half cup roasted garlic bullion so glad I tried it",5 of 5 stars
Cacio e Pepe Pasta,No garlic????,5 of 5 stars
Cacio e Pepe Pasta,My question also. NO GARLIC?,5 of 5 stars
Cacio e Pepe Pasta,There is never any recipe written in stone. If you want to add garlic add garlic. I've also added a touch of white wine during the butter and oil process,5 of 5 stars
Cacio e Pepe Pasta,I have my garlic on the good bread I have with it.,5 of 5 stars
Cacio e Pepe Pasta,iknowriiiiight?!!!,5 of 5 stars
Cacio e Pepe Pasta,"Garlic isn't traditional in this, but it's OK to throw in a whole clove while the butter and oil heat, then pull it out when you add the pasta.",5 of 5 stars
Cacio e Pepe with Peas,Will make again my husband liked this dish a lot. Used the cheeses it called for and the taste was terrific. Follow the recipe and always taste to your liking,3 of 5 stars
Cacio e Pepe with Peas,"It was ok, but not great. I appreciate that the peas are there to add a little protein and a vegetable, so I felt good about making this for my family. The flavor was good, but not great. I'm sure this is because I wasn't using the same quality cheeses or as much fat as restaurants use when making this dish. So it's a healthy, easy make-at-home option, but not as flavorful as I expect cacio e pepe to be.",3 of 5 stars
Cadbury Deviled Eggs,"I am not very creative and these actually turned out like the picture. Cutting the eggs and getting the fondant out without breaking them was the hardest part. Definitely don't use anything larger than a paring knife and warm it often. I think if I made these again I might just buy hollow chocolate eggs and fill with frosting or make another grenache. There will little bits of dark chocolate that I couldn't help but get in the grenache, so I did put the grenache thorugh a strainer after microwaving and before chilling. All in all, a do again for a cute Easter dessert/decoration. ",4 of 5 stars
